point_id,agent_type,partner,alpha,seed,fb0,fbT,partner_fb0
default,exploitative,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,human,,0,2.0689655172413794,2.0344827586206895,0.0
default,exploitative,human,,1,2.0689655172413794,1.3793103448275863,0.0
default,exploratory,ai,0.0,0,2.0689655172413794,1.6206896551724137,0.0
default,exploratory,ai,0.0,1,2.0689655172413794,1.4827586206896552,0.0
default,exploratory,ai,0.25,0,2.0689655172413794,1.6896551724137931,0.0
default,exploratory,ai,0.25,1,2.0689655172413794,1.5517241379310345,0.0
default,exploratory,ai,0.5,0,2.0689655172413794,2.0,0.0
default,exploratory,ai,0.5,1,2.0689655172413794,1.9310344827586208,0.0
default,exploratory,ai,0.75,0,2.0689655172413794,2.0689655172413794,0.0
default,exploratory,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
default,exploratory,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
default,exploratory,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
default,exploratory,human,,0,2.0689655172413794,1.4482758620689655,0.0
default,exploratory,human,,1,2.0689655172413794,1.4827586206896552,0.0
